d0,d1,d2,d3,d4,l1,d0/l1,d1/l1,d2/l1,d3/l1,d4/l1,slopes,mass
4.8,2.7,2.9,1.1,2.6,23.3,0.206008584,0.115879828,0.124463519,0.0472103,0.111587983,0.041650094,0.001985639
3.2,1.3,2.2,1.3,2.8,16.3,0.196319018,0.079754601,0.134969325,0.079754601,0.171779141,0.042898924,0.00073051
4.2,2.8,1.2,1.6,2.8,16.6,0.253012048,0.168674699,0.072289157,0.096385542,0.168674699,0.056116258,0.001067036
4.5,1.4,2.6,1.5,1.2,19.7,0.228426396,0.07106599,0.131979695,0.076142132,0.060913706,0.0448614,0.001251877
4.8,2.4,2.3,1.4,2.6,22.8,0.210526316,0.105263158,0.100877193,0.061403509,0.114035088,0.04235571,0.001829811
4.3,2.7,1.5,1.9,2.9,19.1,0.22513089,0.141361257,0.078534031,0.09947644,0.151832461,0.048723426,0.001341787
4.7,2.7,2.9,2.3,1.6,16.8,0.279761905,0.160714286,0.172619048,0.136904762,0.095238095,0.063535185,0.001296471
3.1,1.5,1.9,1.2,2.7,22.7,0.136563877,0.066079295,0.083700441,0.052863436,0.118942731,0.027471866,0.000999088
3.2,1.5,1.7,2.7,2.7,18.5,0.172972973,0.081081081,0.091891892,0.145945946,0.145945946,0.038681392,0.00093187
3.4,2.7,1.4,2.9,2.8,18,0.188888889,0.15,0.077777778,0.161111111,0.155555556,0.045102928,0.001075426
4.1,1.4,1.6,2.7,1.7,22.5,0.182222222,0.062222222,0.071111111,0.12,0.075555556,0.035688881,0.001357395
4.6,2.7,1.2,1.1,2.3,16.5,0.278787879,0.163636364,0.072727273,0.066666667,0.139393939,0.058889442,0.001091845
3.3,1.8,1.4,1.1,2.3,18,0.183333333,0.1,0.077777778,0.061111111,0.127777778,0.037111705,0.000751983
3.1,1.7,1.5,1.9,1.9,22.8,0.135964912,0.074561404,0.065789474,0.083333333,0.083333333,0.027231269,0.000937692
3.7,2.3,1.1,1.1,2.8,19.4,0.190721649,0.118556701,0.056701031,0.056701031,0.144329897,0.038956129,0.001032532
3.3,1.2,2.4,2.2,2.9,15.4,0.214285714,0.077922078,0.155844156,0.142857143,0.188311688,0.050723379,0.000779665
3.5,2.3,1.9,2.7,1.5,19.8,0.176767677,0.116161616,0.095959596,0.136363636,0.075757576,0.037745695,0.001065024
3.5,1.1,2.1,2.8,1.1,15.7,0.222929936,0.070063694,0.133757962,0.178343949,0.070063694,0.048141946,0.000739396
3.4,2.8,1.4,2.2,1.5,24.4,0.139344262,0.114754098,0.057377049,0.090163934,0.06147541,0.027940588,0.001267181
3.7,2.2,2.6,2.2,1.5,20.3,0.18226601,0.108374384,0.128078818,0.108374384,0.073891626,0.03857278,0.001166634
3.6,1.8,2.2,2.9,1.6,23.5,0.153191489,0.076595745,0.093617021,0.123404255,0.068085106,0.031780474,0.001355123
3.3,1.1,2.8,1.5,2.1,21.6,0.152777778,0.050925926,0.12962963,0.069444444,0.097222222,0.03079512,0.001037795
4.9,1.6,2.9,2.3,1.3,19.8,0.247474747,0.080808081,0.146464646,0.116161616,0.065656566,0.050856045,0.001543017
4.5,2.7,1.7,1.2,1.4,18.4,0.244565217,0.14673913,0.092391304,0.065217391,0.076086957,0.049135198,0.001178361
4.5,1.6,1.3,2.4,2.9,21.1,0.213270142,0.075829384,0.061611374,0.113744076,0.137440758,0.042971057,0.001509902
4.1,2.5,2.7,1.1,2.1,23.3,0.175965665,0.107296137,0.115879828,0.0472103,0.090128755,0.035041475,0.001543164
3.5,1.1,1.5,2.3,2.5,15.3,0.22875817,0.071895425,0.098039216,0.150326797,0.163398693,0.049462146,0.000720768
3.5,1.6,2.8,1.9,1.9,20.7,0.169082126,0.077294686,0.1352657,0.09178744,0.09178744,0.035575419,0.001100964
3.7,1.2,1.9,1.9,2.2,15.4,0.24025974,0.077922078,0.123376623,0.123376623,0.142857143,0.05097763,0.000745907
4.5,2.6,2.4,2.1,1.6,18.3,0.245901639,0.142076503,0.131147541,0.114754098,0.087431694,0.052439673,0.001294563
3.5,1.5,1.9,1.3,1.3,16.8,0.208333333,0.089285714,0.113095238,0.077380952,0.077380952,0.04130991,0.000692278
3.9,1.7,2.3,1.6,2.8,16.7,0.233532934,0.101796407,0.137724551,0.095808383,0.167664671,0.05136289,0.000972234
3.6,1.3,1.3,1.7,1.5,20.3,0.177339901,0.064039409,0.064039409,0.083743842,0.073891626,0.033776522,0.000875755
4.1,2.5,1.6,1.7,2.4,22.9,0.179039301,0.109170306,0.069868996,0.074235808,0.104803493,0.036097671,0.001465428
4.5,1.8,1.5,2.7,2.9,24.9,0.180722892,0.072289157,0.060240964,0.108433735,0.116465863,0.036031001,0.001919673
4.1,2.9,2.9,1.4,1.9,23.6,0.173728814,0.122881356,0.122881356,0.059322034,0.080508475,0.035619627,0.00166096
3.7,1.2,2.1,1.8,1.5,18.2,0.203296703,0.065934066,0.115384615,0.098901099,0.082417582,0.040606051,0.000864474
3.8,1.2,2.2,1.3,2.9,16.5,0.23030303,0.072727273,0.133333333,0.078787879,0.175757576,0.049056311,0.000890271
4.8,2.3,2.6,1.9,1.7,23.7,0.202531646,0.097046414,0.109704641,0.080168776,0.071729958,0.040233615,0.001879801
3.9,2.7,2.1,2.1,2.4,24.9,0.156626506,0.108433735,0.084337349,0.084337349,0.096385542,0.032709654,0.001664256
4.4,1.4,1.7,2.9,2.8,19.2,0.229166667,0.072916667,0.088541667,0.151041667,0.145833333,0.048513861,0.001372032
4.1,2.4,2.5,1.2,2.5,22.9,0.179039301,0.104803493,0.109170306,0.052401747,0.109170306,0.036204111,0.001528452
4.4,2.7,2.9,2.9,2.5,17.5,0.251428571,0.154285714,0.165714286,0.165714286,0.142857143,0.060924682,0.001402873
3.6,1.2,2.9,1.1,1.9,22.8,0.157894737,0.052631579,0.127192982,0.048245614,0.083333333,0.030543118,0.001179866
3.6,1.1,2.1,2.1,1.3,23.4,0.153846154,0.047008547,0.08974359,0.08974359,0.055555556,0.02950769,0.001127145
4.8,1.4,2.5,1.6,2.7,17.6,0.272727273,0.079545455,0.142045455,0.090909091,0.153409091,0.057648803,0.001301832
3.5,2.5,1.7,1.3,2.9,22.6,0.154867257,0.110619469,0.075221239,0.057522124,0.128318584,0.032407981,0.001265771
4.5,1.4,2.1,1.9,2.9,18.9,0.238095238,0.074074074,0.111111111,0.100529101,0.153439153,0.049577548,0.001322164
3.7,2.3,2.1,1.6,2.5,21.6,0.171296296,0.106481481,0.097222222,0.074074074,0.115740741,0.035835409,0.001249707
3.4,1.6,1.7,2.4,2.8,18,0.188888889,0.088888889,0.094444444,0.133333333,0.155555556,0.041748882,0.000937974
